Mode,AtomIndex,dx,dy,dz
8,11,-0.0299,-0.1295,0.1295
8,12,-0.01,0.0,0.0
8,13,0.0,0.0598,-0.0598
8,14,0.0199,0.0996,-0.0996
8,15,0.0398,0.1494,-0.1494
8,16,0.01,0.0797,-0.0697
8,17,0.0199,0.0996,-0.0897
8,18,-0.0,0.0398,-0.0199
8,19,-0.01,-0.0,0.01
8,20,-0.0299,-0.0299,0.0398
8,21,-0.01,0.0299,0.0299
8,22,-0.0199,-0.0299,0.0398
8,23,-0.01,0.0199,0.01
8,24,0.01,0.0697,-0.0797
8,25,-0.0498,-0.1594,0.1893
8,26,0.0199,0.1693,-0.1395
8,27,-0.01,-0.0299,0.0299
8,28,-0.0199,0.0299,0.0398
8,29,0.01,-0.0697,-0.0797
8,30,0.0199,-0.1295,-0.0299
8,31,0.0199,-0.1893,-0.0598
8,32,0.0498,-0.1494,-0.0498
8,33,0.0797,-0.2391,-0.0996
8,34,0.0498,-0.0598,0.01
8,35,0.0697,-0.0697,-0.0
8,36,0.0199,0.0398,0.0697
8,37,0.0199,0.1096,0.1096
8,38,-0.01,0.0398,0.0697
8,39,-0.0199,0.0797,0.0897
8,40,-0.0299,0.1295,0.1295
8,41,-0.01,-0.0,0.0
8,42,0.0,-0.0598,-0.0598
8,43,0.0199,-0.0996,-0.0996
8,44,0.0398,-0.1494,-0.1494
8,45,0.01,-0.0797,-0.0697
8,46,0.0199,-0.0996,-0.0897
8,47,-0.0,-0.0398,-0.0199
8,48,-0.01,0.0,0.01
8,49,-0.0299,0.0299,0.0398
8,50,-0.01,-0.0199,0.01
8,51,-0.0498,0.1594,0.1893
8,52,0.0199,-0.1693,-0.1395
8,53,-0.0299,0.0,0.0199
9,1,-0.0,-0.0101,-0.0603
9,2,0.0,-0.0,-0.0804
9,3,-0.0101,0.0201,-0.0905
9,4,-0.0101,0.0503,-0.1307
9,5,-0.0201,0.0101,-0.0603
9,6,-0.0302,0.0302,-0.0804
9,7,-0.0302,-0.0302,-0.0101
9,8,-0.0302,-0.0402,0.0101
9,9,-0.0201,-0.0503,0.0
9,10,-0.0101,-0.0503,0.0201
9,11,-0.0101,-0.0503,0.0302
9,12,0.0201,0.0101,-0.0402
9,13,0.0402,0.0704,-0.1005
9,14,0.0704,0.1609,-0.181
9,15,0.1005,0.2212,-0.2513
9,16,0.0704,0.1307,-0.1508
9,17,0.0804,0.1709,-0.181
9,18,0.0402,0.0503,-0.0603
9,19,0.0201,-0.0,-0.0201
9,20,-0.0101,-0.0503,0.0402
9,21,-0.0,-0.0402,-0.0201
9,22,0.0,-0.0302,-0.0
9,23,0.0101,-0.0201,0.0201
9,24,0.0402,0.0302,-0.0704
9,25,-0.0302,-0.191,0.2011
9,26,0.0302,0.0804,-0.0804
9,27,0.0,-0.0402,0.0201
9,28,-0.0,-0.0302,0.0
9,29,-0.0402,0.0302,0.0704
9,30,0.0,-0.0101,0.0603
9,31,-0.0,-0.0,0.0804
9,32,0.0101,0.0201,0.0905
9,33,0.0101,0.0503,0.1307
9,34,0.0201,0.0101,0.0603
9,35,0.0302,0.0302,0.0804
9,36,0.0302,-0.0302,0.0101
9,37,0.0302,-0.0402,-0.0101
9,38,0.0201,-0.0503,-0.0
9,39,0.0101,-0.0503,-0.0201
9,40,0.0101,-0.0503,-0.0302
9,41,-0.0201,0.0101,0.0402
9,42,-0.0402,0.0704,0.1005
9,43,-0.0704,0.1609,0.181
9,44,-0.1005,0.2212,0.2513
9,45,-0.0704,0.1307,0.1508
9,46,-0.0804,0.1709,0.181
9,47,-0.0402,0.0503,0.0603
9,48,-0.0201,-0.0,0.0201
9,49,0.0101,-0.0503,-0.0402
9,50,-0.0101,-0.0201,-0.0201
9,51,0.0302,-0.191,-0.2011
9,52,-0.0302,0.0804,0.0804
9,53,0.0,-0.0503,0.0
10,1,-0.1098,-0.0699,-0.0699
10,2,-0.0799,-0.1098,-0.0899
10,3,-0.1797,-0.0699,-0.0699
10,4,-0.2097,-0.1098,-0.0899
10,5,-0.2097,-0.01,-0.0499
10,6,-0.2596,-0.01,-0.0599
10,7,-0.1697,0.0499,-0.03
10,8,-0.1897,0.0999,-0.0
10,9,-0.0899,0.0399,-0.02
10,10,-0.0599,0.0599,0.01
10,11,-0.0699,0.0899,0.02
10,12,-0.0399,0.03,0.01
10,13,-0.0599,0.03,0.01
10,14,-0.0899,0.02,-0.01
10,15,-0.1198,0.03,-0.0
10,16,-0.0899,-0.01,-0.03
10,17,-0.0999,-0.01,-0.0399
10,18,-0.0599,-0.02,-0.03
10,19,-0.03,-0.0,-0.01
10,20,-0.01,-0.01,-0.02
10,21,-0.0699,-0.01,-0.0399
10,22,-0.03,0.0399,0.02
10,23,-0.0599,-0.0499,-0.0699
10,24,-0.0499,0.0399,0.01
10,25,-0.0899,-0.0699,-0.0999
10,26,-0.01,-0.0699,-0.0799
10,27,0.0699,-0.01,0.0399
10,28,0.03,0.0399,-0.02
10,29,0.0499,0.0399,-0.01
10,30,0.1098,-0.0699,0.0699
10,31,0.0799,-0.1098,0.0899
10,32,0.1797,-0.0699,0.0699
10,33,0.2097,-0.1098,0.0899
10,34,0.2097,-0.01,0.0599
10,35,0.2596,-0.01,0.0599
10,36,0.1697,0.0499,0.03
10,37,0.1897,0.0999,0.0
10,38,0.0899,0.0399,0.02
10,39,0.0599,0.0599,-0.01
10,40,0.0699,0.0899,-0.02
10,41,0.0399,0.03,-0.01
10,42,0.0599,0.03,-0.01
10,43,0.0899,0.02,0.01
10,44,0.1198,0.03,0.0
10,45,0.0899,-0.01,0.03
10,46,0.0999,-0.01,0.0399
10,47,0.0599,-0.02,0.03
10,48,0.03,-0.0,0.01
10,49,0.01,-0.01,0.02
10,50,0.0599,-0.0499,0.0699
10,51,0.0899,-0.0699,0.0999
10,52,0.01,-0.0699,0.0799
10,53,-0.0,0.0499,-0.0
11,1,0.0402,0.1106,0.0603
11,2,0.0101,0.181,0.0704
11,3,0.1206,0.0402,0.1307
11,4,0.1408,0.0503,0.2011
11,5,0.1508,-0.0402,0.1106
11,6,0.2011,-0.1106,0.1709
11,7,0.1106,-0.0503,0.0201
11,8,0.1408,-0.1206,-0.0101
11,9,0.0302,0.0201,-0.0402
11,10,-0.0,0.0101,-0.1005
11,11,0.0101,-0.0201,-0.1206
11,12,-0.0402,0.0,-0.0804
11,13,-0.0302,-0.0402,-0.0603
11,14,0.0101,-0.0603,0.0
11,15,0.0302,-0.1005,0.0302
11,16,0.0,-0.0302,0.0302
11,17,0.0201,-0.0503,0.0704
11,18,-0.0302,0.0201,0.0101
11,19,-0.0503,0.0302,-0.0503
11,20,-0.0704,0.0603,-0.0603
11,21,0.0,0.0905,-0.0201
11,22,-0.0302,0.0201,-0.1005
11,23,-0.0402,0.0704,0.0603
11,24,-0.0201,-0.0503,-0.0804
11,25,0.0201,0.1206,0.0704
11,26,-0.1106,0.0704,0.1005
11,27,0.0,-0.0905,-0.0201
11,28,-0.0302,-0.0201,-0.1005
11,29,-0.0201,0.0503,-0.0804
11,30,0.0402,-0.1106,0.0603
11,31,0.0101,-0.191,0.0704
11,32,0.1206,-0.0402,0.1307
11,33,0.1408,-0.0503,0.2011
11,34,0.1508,0.0402,0.1106
11,35,0.2011,0.1106,0.1709
11,36,0.1106,0.0503,0.0201
11,37,0.1408,0.1206,-0.0101
11,38,0.0302,-0.0201,-0.0402
11,39,-0.0,-0.0101,-0.1005
11,40,0.0101,0.0201,-0.1206
11,41,-0.0402,-0.0,-0.0804
11,42,-0.0302,0.0402,-0.0603
11,43,0.0101,0.0603,0.0101
11,44,0.0302,0.1005,0.0302
11,45,0.0,0.0302,0.0302
11,46,0.0201,0.0503,0.0804
11,47,-0.0302,-0.0201,0.0101
11,48,-0.0503,-0.0302,-0.0503
11,49,-0.0704,-0.0603,-0.0603
11,50,-0.0402,-0.0704,0.0603
11,51,0.0201,-0.1206,0.0704
11,52,-0.1106,-0.0704,0.1005
11,53,-0.0603,-0.0,-0.0603
12,1,-0.0099,-0.1393,0.0995
12,2,-0.0298,-0.2189,0.189
12,3,0.0298,-0.0298,0.0
12,4,0.0398,-0.0199,0.0099
12,5,0.0597,0.0796,-0.1194
12,6,0.0895,0.189,-0.2189
12,7,0.0497,0.0497,-0.0995
12,8,0.0696,0.1194,-0.1791
12,9,0.0099,-0.0796,0.0099
12,10,-0.0199,-0.1094,0.0298
12,11,-0.0099,-0.1293,0.0099
12,12,-0.0398,-0.1094,0.0398
12,13,-0.0,-0.0497,-0.0199
12,14,0.0,-0.0497,0.0
12,15,0.0298,-0.0298,-0.0298
12,16,0.0,-0.0497,0.0298
12,17,0.0199,-0.0298,0.0199
12,18,-0.0298,-0.0597,0.0497
12,19,-0.0597,-0.0995,0.0696
12,20,-0.0796,-0.1094,0.0895
12,21,-0.0199,-0.1492,0.0895
12,22,-0.0497,-0.1094,0.0298
12,23,-0.0099,0.0497,0.0199
12,24,0.0,0.0298,-0.0796
12,25,0.0298,0.0796,0.0199
12,26,-0.0497,0.1194,-0.0298
12,27,-0.0199,0.1492,0.0895
12,28,-0.0497,0.1094,0.0298
12,29,0.0099,-0.0298,-0.0796
12,30,-0.0099,0.1393,0.0995
12,31,-0.0298,0.2189,0.189
12,32,0.0298,0.0298,0.0
12,33,0.0398,0.0298,0.0099
12,34,0.0597,-0.0796,-0.1194
12,35,0.0895,-0.189,-0.2189
12,36,0.0497,-0.0497,-0.0995
12,37,0.0696,-0.1194,-0.1791
12,38,0.0099,0.0796,0.0099
12,39,-0.0199,0.1094,0.0298
12,40,-0.0099,0.1293,0.0099
12,41,-0.0398,0.1094,0.0398
12,42,-0.0,0.0497,-0.0199
12,43,0.0,0.0497,0.0
12,44,0.0298,0.0298,-0.0298
12,45,0.0,0.0497,0.0298
12,46,0.0199,0.0298,0.0199
12,47,-0.0298,0.0597,0.0497
12,48,-0.0497,0.0995,0.0696
12,49,-0.0796,0.1094,0.0895
12,50,-0.0099,-0.0497,0.0199
12,51,0.0298,-0.0796,0.0199
12,52,-0.0497,-0.1194,-0.0298
12,53,0.0398,-0.0,-0.0597
13,1,-0.0504,0.0201,0.0806
13,2,-0.0705,0.0302,0.1209
13,3,0.0101,0.0302,0.0806
13,4,0.0302,0.0403,0.1209
13,5,0.0504,0.0201,0.0201
13,6,0.0907,0.0302,0.0101
13,7,0.0201,0.0,-0.0302
13,8,0.0504,-0.0101,-0.0806
13,9,-0.0403,-0.0101,-0.0201
13,10,-0.0806,-0.0403,-0.0504
13,11,-0.0604,-0.0403,-0.1108
13,12,-0.1511,-0.0806,-0.0302
13,13,-0.1209,-0.0604,-0.0705
13,14,-0.0806,-0.0101,-0.0907
13,15,-0.0504,0.0101,-0.1209
13,16,-0.0806,0.0201,-0.0604
13,17,-0.0504,0.0604,-0.0806
13,18,-0.131,-0.0,-0.0201
13,19,-0.1712,-0.0604,-0.0
13,20,-0.2015,-0.0705,0.0201
13,21,-0.0705,0.0101,0.0302
13,22,-0.131,-0.0705,-0.0201
13,23,-0.1511,0.0806,0.0302
13,24,-0.1209,-0.0705,-0.0806
13,25,-0.0806,0.1007,0.0907
13,26,-0.2317,0.141,0.0201
13,27,0.0705,0.0101,-0.0302
13,28,0.131,-0.0705,0.0201
13,29,0.1209,-0.0705,0.0907
13,30,0.0504,0.0201,-0.0806
13,31,0.0705,0.0302,-0.1209
13,32,-0.0101,0.0302,-0.0806
13,33,-0.0302,0.0403,-0.1209
13,34,-0.0504,0.0201,-0.0201
13,35,-0.1007,0.0302,-0.0101
13,36,-0.0201,0.0,0.0302
13,37,-0.0504,-0.0101,0.0806
13,38,0.0403,-0.0101,0.0201
13,39,0.0806,-0.0403,0.0504
13,40,0.0604,-0.0504,0.1108
13,41,0.1511,-0.0806,0.0302
13,42,0.1209,-0.0604,0.0705
13,43,0.0806,-0.0101,0.0907
13,44,0.0504,0.0101,0.1209
13,45,0.0806,0.0201,0.0604
13,46,0.0504,0.0604,0.0806
13,47,0.131,-0.0,0.0201
13,48,0.1712,-0.0604,0.0
13,49,0.2015,-0.0705,-0.0201
13,50,0.1511,0.0806,-0.0302
13,51,0.0806,0.1007,-0.0907
13,52,0.2317,0.141,-0.0201
13,53,-0.0,-0.0403,0.0
14,1,0.0402,-0.0603,-0.0301
14,2,0.0402,-0.0804,-0.0301
14,3,0.0201,-0.0804,-0.0201
14,4,0.01,-0.1105,-0.01
14,5,0.0201,-0.0402,-0.0301
14,6,0.0,-0.0502,-0.0201
14,7,0.0301,-0.01,-0.0402
14,8,0.0301,0.01,-0.0402
14,9,0.0502,-0.01,-0.0402
14,10,0.0201,-0.0301,-0.0201
14,11,0.0402,-0.0402,-0.0703
14,12,-0.0301,-0.0603,0.01
